titel,status,grounding_quote,task_type,inhaltsfelder,kompetenzen,afb_max,stamm_quelle,bild_pfad,n_antworten,probleme
20 Prozent,ready,5/5,SHORT_INPUT,arithmetik_algebra,ope,1,emf_text_records,,4,
700 Milliarden,doc_pending,4/5,SHORT_INPUT,arithmetik_algebra,,1,-,,1,kein_stamm_extrahierbar
Abstand auf dem Wasser,doc_pending,4/5,SHORT_INPUT,funktionen,,2,-,,1,kein_stamm_extrahierbar
Adventskalender,quarantined,1/5,MULTI_PART,stochastik,kom|mod,2,vision_transkription,vera8_assets/adventskalender/aufgabe_01.png,0,auswertung_loesung_nur_als_formelgrafik; fremdes_medium_in_quelle:aufgabe_02.png_zeigt_die_Freibad-Aufgabe; keine_typischen_fehler_belegt; ta1_auswertung_zelle_leer; ta2_auswertung_zelle_leer; ta3_auswertung_zelle_leer; teilaufgabe_1_prompt_fehlt_in_quelle
Ampelkarte,ready,5/5,MULTI_PART,funktionen|stochastik,kom|ope,2,emf_text_records,,1,auswertung_loesung_nur_als_formelgrafik; ta1_antwort_ist_satz; ta2_auswertung_zelle_leer
Andere Länder - andere Noten,ready,4/5,MULTI_PART,funktionen,kom|mod|ope|pro,2,emf_text_records,,2,keine_typischen_fehler_belegt; ta2_antwort_erfordert_begruendung; ta3_loesung_ist_freitext
Ansichten eines Tischs,partial,2/5,FREE_TEXT,geometrie,kom|mod,1,vision_transkription,vera8_assets/ansichteneinestischs/aufgabe_01.png,0,keine_typischen_fehler_belegt; ta1_antwort_erfordert_begruendung
Anteile in geometrischen Objekten,quarantined,2/5,MULTI_PART,,,1,emf_text_records,,0,auswertung_loesung_nur_als_formelgrafik; ta1_auswertung_zelle_leer; ta_anzahl_inkonsistent
Anzahl von Nullen,ready,5/5,MULTI_PART,arithmetik_algebra,ope,1,emf_text_records,,4,
Apfelsaftschorle,doc_pending,2/5,FREE_TEXT,geometrie,,1,-,,0,kein_stamm_extrahierbar; ta1_antwort_erfordert_begruendung
Aufgabenreihen,partial,2/5,MULTI_PART,arithmetik_algebra,arg|pro,2,vision_transkription,vera8_assets/aufgabenreihen/aufgabe_01.png,0,keine_typischen_fehler_belegt; ta1_antwort_erfordert_begruendung; ta2_antwort_erfordert_begruendung
Aussagen zur proportionalen Zuordnung,doc_pending,4/5,SHORT_INPUT,funktionen,,1,-,,1,kein_stamm_extrahierbar
Aussagen über Dreiecke,ready,5/5,MULTI_PART,geometrie,kom|ope|pro,2,emf_text_records,,2,
