id,title,question,parts,input_type,needs_image,est_duration_sec,status
238c34fe-bcd0-4a2b-90cc-f83fb9e28bfb,Ecken an Pyramiden,"Die Abbildung zeigt eine Pyramide. Sie hat fünf Flächen:
eine viereckige Grundfläche und vier dreieckige
Seitenflächen.
Gib an, wie viele Ecken diese Pyramide hat.",[],NUMERIC,t,,ready
27fb8ca3-408c-4837-8ea3-21a605b22e52,Abstand auf dem Wasser,"Ein Schiff fährt mit gleichbleibender Geschwindigkeit aus einem Hafen an einem Leuchtturm vorbei. Der nachstehenden Abbildung kann man entnehmen, wie viele Minuten es vom Ablegen bis zu den markierten Positionen braucht. Die Abbildung zeigt die Route des Schiffes vom Hafen zum Leuchtturm mit Zeitmarkierungen bei 5 min, 10 min, 15 min, 20 min, 25 min, 30 min und 35 min. Der Maßstab zeigt 2 km.

Welcher Graph stellt den Abstand des Schiffes zum Leuchtturm als Funktion der Zeit dar? Kreuze an.",[],MC,t,,draft
ba2ed4e2-0ce8-480e-af96-16b61fddd2d7,Bestimme x,"Es gilt x − 5 = 15.

Welchen Wert hat x?",[],NUMERIC,,,ready
58af80b3-b073-40d5-bf38-6dd54d030291,Das ist gerundet,"Runde die Zahl 5,143 auf eine Stelle nach dem Komma.",[],NUMERIC,,,ready
866b569a-030f-489b-b7f0-a922658c540e,Einfache Gleichung,"Gegeben ist die Gleichung 18−3x=12.
Gib den Wert für x an.",[],NUMERIC,,,ready
b43f6508-1ba8-44b2-9b0d-4d3906df7780,Gleichung lösen 1,Löse die Gleichung 4+x=−6.,[],NUMERIC,,,ready
e40594ab-53ba-4eab-ab66-164599b8d9c7,Kugeln ziehen,"In einem Gefäß befinden sich gleich viele rote und blaue Kugeln, die sich nur durch ihre Farbe unterscheiden.

Es sollen zusätzlich so viele gelbe Kugeln hinzugefügt werden, dass die Wahrscheinlichkeit eine rote Kugel zu ziehen 20 % beträgt.

Wie viel mal so viele gelbe wie rote Kugeln müssen in dem Gefäß sein?",[],NUMERIC,,,ready
9f5f5d98-e884-4382-ae0b-b6aebbf0e24c,Papier,"500 Blatt einer Papiersorte sind 55mm hoch.
Gib an, wie hoch 200 Blatt dieser Papiersorte sind.",[],NUMERIC,,,ready
1cc00f09-65ac-4091-afbe-a18def4563da,Pflaumen,"1kg Pflaumen kostet 1,90€.

Gib an, wie viel 500g Pflaumen kosten.",[],NUMERIC,,,ready
f777470d-ddf1-49a4-975d-9f6713699211,Temperaturdifferenz,"An einem Herbsttag misst Tim morgens im Garten eine Temperatur von -1°C.
Am Nachmittag beträgt die Temperatur an der gleichen Stelle 18°C.
Gib an, um wie viel Grad Celsius die Temperatur angestiegen ist.",[],NUMERIC,,,ready
ee40b6c2-a125-49b9-b094-7bc1a53b334b,Croissant,"Marc tankt für 43,80€. Im Tankstellenladen kauft er noch ein Schoko-Croissant.
Er bezahlt beides mit einem 50€-Schein und bekommt 4,95€ zurück.
Gib an, wie teuer das Schoko-Croissant ist.",[],NUMERIC,,,ready
1660a458-692a-4245-867e-e33ebc64fb26,Hälfte,"Wie viel ist die Hälfte von 1 Million?
Schreibe dein Ergebnis in Ziffern.",[],NUMERIC,,,ready
d350fb95-b256-4776-af65-91ffa284dd8c,Lohnerhöhung,"Eine Werbefirma erhöht den Lohn für das Verteilen von 500 Werbeprospekten
von 5,00€ auf 5,50€.

Gib an, um wie viel Prozent der Lohn erhöht wird.",[],NUMERIC,,,ready
0c49350a-1163-4dbb-9775-836d73bc09d6,Zwanzig Prozent,Gib 20% von 150€ an.,[],NUMERIC,,,ready
0e4d40b0-1e64-49e7-8abf-ced28a71e19c,Berechne x,"Gegeben ist die Gleichung 8x = 72. Berechne x.

x =",[],NUMERIC,f,,draft
